"","p","p.adj","eta1","mean1","sd1","eta2","mean2","sd2","mod.pool.var"
"Paludibacter",0.982024455157257,1,0.571428571428571,-3.82471131600211,0.41710258430573,0.5,-3.80945666721254,0.619831168763887,0.759447320823588
"Cladosporium",0.982771436893764,1,0.571428571428571,-4.74922527367024,0.2852136946904,0.875,-4.77257845893133,1e-06,0.840273294255408
"X.Pseudomonadales.",0.983616305093435,1,0.142857142857143,-0.0474951398906705,1.29428092049728,0.125,-0.0348398677760437,1.05859777164382,1.19762616412726
"Eggerthella",0.984328782348366,1,0.571428571428571,-3.98149812898693,1.13579835099664,0.75,-3.99961625331028,0.45432243067298,0.98141579745015
"X.Thaumarchaeota.",0.984568080128775,1,0.428571428571429,-0.645482226621757,1.75719973023702,0.5,-0.627684071500278,1.50195297409371,1.64014677220057
"Calothrix",0.984662066111801,1,0.142857142857143,-3.34491149685965,1.10095395335961,0.125,-3.33400323978269,0.937746094911156,1.01528300007931
"Cyanothece",0.985001995362808,1,0.285714285714286,-3.39201422074209,0.999300839162523,0.75,-3.40769048031193,0.665579532052161,0.96010496915891
"Phascolarctobacterium",0.985502552106415,1,0.571428571428571,-3.59408878605067,1.20790458782376,0.625,-3.57899344972068,0.733265223272149,0.997954188621134
"Stenotrophomonas",0.985951316809433,1,0.285714285714286,-1.33622608105373,1.66540510748626,0.625000000000011,-1.31970072692488,1.46645668142785,1.59950069934453
"Macrophomina",0.986276648352415,1,0.285714285714286,-3.03179933247771,0.837530754274393,0.375,-3.04181576127291,0.726814270898645,0.824086983700541
"Pelotomaculum",0.986992965972148,1,0.714285714285714,-4.56220761140997,0.0953972796012559,0.75,-4.54672459190781,0.656192855145545,0.864077787843633
"Beauveria",0.988707464131646,1,0.714285714285714,-4.77613196846257,0.397932006666983,0.75,-4.78945078752773,0.312926177356633,0.848315287683409
"Heterobasidion",0.988707464131646,1,0.714285714285714,-4.77613196846257,0.397932006666983,0.75,-4.78945078752773,0.312926177356633,0.848315287683409
"Sphingobium",0.990056557361301,1,0.285714285714286,-1.22159017087237,0.71569353144987,0.625,-1.21264819315552,1.21547740047388,0.934915477625286
"X.Dermabacteraceae.",0.990339195067064,1,0.428571428571429,-3.89106831662796,0.618053808452971,0.875,-3.87832628084498,1e-06,0.851590265303274
"X.Euryarchaeota.",0.991222436326021,1,0.428571428571429,-4.00865842636658,0.858695557849022,0.75,-3.99961625331028,0.117535177386502,0.868334328261514
"Roseivivax",0.991224170137945,1,0.571428571428571,-4.33704672578309,0.347120933448295,0.375,-4.34387583203818,0.522109217881044,0.700060443624245
"Eremococcus",0.992178014642974,1,0.571428571428571,-3.84662738578972,1.36913930274345,0.75,-3.85605062331553,0.32056763841571,1.06572565234459
"Neofusicoccum",0.992422876836257,1,0.428571428571429,-3.56726662547436,1.11127681489426,0.625,-3.55976715527288,0.949253894614068,1.03318151913636
"X.Sphaerobacteraceae.",0.992553694480465,1,0.285714285714286,-3.52014056844328,1.724836139713,0.75,-3.51002180349366,1.49645964395758,1.62299325829295
"Skermanella",0.99353003924376,1,0.142857142857143,-0.820470207136955,0.754893712081676,0.25,-0.825478804609443,1.37439966583995,1.11574868270743
"Aerococcus",0.995115633164441,1,0.142857142857143,-2.64194049682149,1.65160985943868,0.375,-2.64645138928166,0.950431225285471,1.44166695555196
"X.Staphylococcaceae.",0.995525589400404,1,0.285714285714286,-2.09191479988191,1.15752694679177,0.25,-2.08856341384951,0.734561202159791,0.948275934254116
"Chamaesiphon",0.997690698370209,1,0.714285714285714,-3.70133236390778,1.40584073951279,0.75,-3.70437894526114,0.871851035834598,1.06146223129586
"X.Crenarchaeota.",0.999162396789178,1,0.714285714285714,-3.42370496892634,0.249611217865243,0.750000000018263,-3.42255734028129,1.90921817547956,1.14490010991644
"Nitrosospira",0.999833850623769,1,0.857142857142857,-2.13730870018938,1e-06,0.75,-2.13705751031657,0.479240924008187,0.925571026635638
